"metaphln"	"binsPTR"	"binsRelab"	"Ref_PTR"	"Ref_Relab"
"CSM79HRE"	0.716199482765882	0.587941377112557	0.803813826330264	0.591228479728267	0.711447817692502
"CSM79HRG"	0.744063791044645	0.57947682677915	0.780539490604347	0.592237374590555	0.673641231834109
"CSM7KOJE"	0.992745909587416	1	0.997965174447799	0.972211749946597	0.99656958539698
"CSM7KOJG"	0.987034989456319	1	0.995908273671617	0.962887838468275	0.992712712857011
"CSM7KOJO"	0.991504497154628	1	0.997890321677325	0.972919360907096	0.99684974293629
"CSM7KOJQ"	0.83400819743702	0.848710794842506	0.897084383824842	0.699400823203579	0.762293070157494
"CSM7KOJS"	0.850553906346199	0.842385636527377	0.896557510879549	0.670616573544741	0.802805579917468
"CSM7KOJU"	0.858617662609406	0.842673479261221	0.89506810436908	0.695464231507482	0.819572805198043
"CSM7KOJW"	0.806302344689088	0.850614440788544	0.901018007111243	0.723078993104408	0.747174191429417
"CSM7KOJY"	0.840921964342262	0.852042913233808	0.896076133044263	0.710742102136345	0.790352998169151
"CSM7KOK1"	0.825928416359835	0.798781511677781	0.80819170608706	0.643033733442238	0.754051939369865
"CSM7KOK3"	0.678903109189187	0.773345451632749	0.822465818671656	0.755190659043641	0.670339414294684
"CSM7KOK5"	0.714022098071752	0.705425783893689	0.796880985620766	0.701881815288157	0.666036093020192
"CSM7KOK7"	0.643523174340264	0.679278934922886	0.756236052687134	0.703911597365358	0.663556202294504
"CSM7KOKB"	0.709293001894841	0.643557570948455	0.781987577362525	0.6993580681187	0.693691412172696
"CSM7KOKD"	0.727920659368364	0.723451909781566	0.850939003679235	0.736472542855535	0.696385367412663
"CSM7KOKF"	0.694478640808689	0.649036239197747	0.785605179972113	0.601379572089953	0.69317056901466
"CSM7KOKJ"	0.710413854772919	0.722154081376978	0.815119850492595	0.632154109984997	0.736839944460561
"CSM7KOKN"	0.706016307035017	0.722766621364574	0.756249610383797	0.626448252877219	0.684653513992772
"CSM7KOKR"	0.671172114749863	0.627144470475737	0.805691662204467	0.555288921314402	0.614217056743767
"CSM7KOKT"	0.733900733660533	0.699690475101121	0.876578010515626	0.629859889641292	0.671652413174651
"CSM7KOKZ"	0.737169563978111	0.691132440489057	0.920424530767202	0.579309339754488	0.674917452839285
"CSM7KOL2"	0.749783859082974	0.680304149506899	0.901112958784728	0.595689476292188	0.677331529338374
"CSM7KOL4"	0.667931100830521	0.577294464431959	0.754623518128526	0.573091791261272	0.617977485034807
"CSM7KOLA"	0.628120751825961	0.554396328463713	0.703087606443382	0.557401882207488	0.625777988999554
"CSM7KOLE"	0.68397804241686	0.590219216104675	0.694496043276099	0.569494529148216	0.591964032255206
"CSM7KOLK"	0.767005515671725	0.62525099885568	0.817532448574187	0.686062370350351	0.718712641370031
"CSM7KOLM"	0.768321779715965	0.586419034877934	0.799191318992399	0.593894612302397	0.728042524282554
"CSM7KOLY"	0.824837655605767	0.811366524787048	0.873350898887303	0.670258654473271	0.849872613421342
"CSM7KOMB"	0.797125629357332	0.735980741741169	0.7986132388003	0.62527554742053	0.788156143427691
